"Rusguniae","Monastir","Guelma","Volubilis","Banasa","Ain Temouchent","Albulae","Thibilis","Tipasa","Sabratha","Adjim","Carthage"
"Rusguniae",200,0,200,0,0,0,0,0,0,0,0,0
"Monastir",0,200,0,200,200,200,200,200,150.588235294118,200,200,200
"Guelma",200,0,200,0,0,0,0,0,0,0,0,0
"Volubilis",0,200,0,200,200,200,200,200,150.588235294118,200,200,200
"Banasa",0,200,0,200,200,200,200,200,150.588235294118,200,200,200
"Ain Temouchent",0,200,0,200,200,200,200,200,150.588235294118,200,200,200
"Albulae",0,200,0,200,200,200,200,200,150.588235294118,200,200,200
"Thibilis",0,200,0,200,200,200,200,200,150.588235294118,200,200,200
"Tipasa",0,150.588235294118,0,150.588235294118,150.588235294118,150.588235294118,150.588235294118,150.588235294118,200,150.588235294118,150.588235294118,150.588235294118
"Sabratha",0,200,0,200,200,200,200,200,150.588235294118,200,200,200
"Adjim",0,200,0,200,200,200,200,200,150.588235294118,200,200,200
"Carthage",0,200,0,200,200,200,200,200,150.588235294118,200,200,200
