"Gafsa","Rusguniae","Monastir","Lambaesa","Guelma","Volubilis","Banasa","Ain Temouchent","Ain Bessem","Ain el Djenan","Albulae","Alger-Hammamet","Alger-Rais Hamidou","Thibilis","Bouira","Cherchel","Auzia","Cissi","Grarem","Aquae Calidae","Khemis el Khema","Gunugu","Taher","Tipasa","Garian","Sabratha","Tripoli ","Adjim","Carthage","Thaenae","Hadrumetum"
"Gafsa",200,192.857142857143,5.15463917525773,0,192.857142857143,0,169.230769230769,0,192.857142857143,0,81.6901408450704,192.857142857143,192.857142857143,0,0,192.857142857143,0,192.857142857143,192.857142857143,192.857142857143,192.857142857143,192.857142857143,192.857142857143,0,192.857142857143,0,192.857142857143,0,0,0,0
"Rusguniae",192.857142857143,200,5.15463917525773,0,199.633923123856,0,169.230769230769,0,200,0,81.6901408450704,200,200,0,0,200,0,200,200,200,200,200,200,0,200,0,200,0,0,0,0
"Monastir",5.15463917525773,5.15463917525773,200,194.845360824742,5.15463917525773,192.857142857143,35.9238699444885,194.845360824742,5.15463917525773,194.845360824742,123.464498330187,5.15463917525773,5.15463917525773,194.845360824742,194.845360824742,5.15463917525773,194.845360824742,5.15463917525773,5.15463917525773,5.15463917525773,5.15463917525773,5.15463917525773,5.15463917525773,194.845360824742,5.15463917525773,194.845360824742,5.15463917525773,194.845360824742,194.845360824742,194.845360824742,194.845360824742
"Lambaesa",0,0,194.845360824742,200,0,192.857142857143,30.7692307692308,196.428571428571,0,196.428571428571,118.30985915493,0,0,196.428571428571,196.428571428571,0,199.696545284781,0,0,0,0,0,0,196.428571428571,0,196.428571428571,0,196.428571428571,196.428571428571,196.428571428571,197.620229819833
"Guelma",192.857142857143,199.633923123856,5.15463917525773,0,200,0.366076876143978,169.230769230769,0,199.633923123856,0,81.6901408450704,199.633923123856,199.633923123856,0,0,199.633923123856,0,199.633923123856,199.633923123856,199.633923123856,199.633923123856,199.633923123856,199.633923123856,0,199.633923123856,0,199.633923123856,0,0,0,0
"Volubilis",0,0,192.857142857143,192.857142857143,0.366076876143978,200,30.7692307692308,192.857142857143,0,192.857142857143,118.30985915493,0,0,192.857142857143,192.857142857143,0,192.857142857143,0,0,0,0,0,0,192.857142857143,0,192.857142857143,0,192.857142857143,192.857142857143,192.857142857143,192.857142857143
"Banasa",169.230769230769,169.230769230769,35.9238699444885,30.7692307692308,169.230769230769,30.7692307692308,200,30.7692307692308,169.230769230769,30.7692307692308,112.459371614301,169.230769230769,169.230769230769,30.7692307692308,30.7692307692308,169.230769230769,30.7692307692308,169.230769230769,169.230769230769,169.230769230769,169.230769230769,169.230769230769,169.230769230769,30.7692307692308,169.230769230769,30.7692307692308,169.230769230769,30.7692307692308,30.7692307692308,30.7692307692308,30.7692307692308
"Ain Temouchent",0,0,194.845360824742,196.428571428571,0,192.857142857143,30.7692307692308,200,0,200,118.30985915493,0,0,200,200,0,196.732026143791,0,0,0,0,0,0,200,0,200,0,200,200,200,198.808341608739
"Ain Bessem",192.857142857143,200,5.15463917525773,0,199.633923123856,0,169.230769230769,0,200,0,81.6901408450704,200,200,0,0,200,0,200,200,200,200,200,200,0,200,0,200,0,0,0,0
"Ain el Djenan",0,0,194.845360824742,196.428571428571,0,192.857142857143,30.7692307692308,200,0,200,118.30985915493,0,0,200,200,0,196.732026143791,0,0,0,0,0,0,200,0,200,0,200,200,200,198.808341608739
