Site,sestertius,denarius,aureus,antoninianus
Gafsa,105,0,0,0
Guelma,3243,0,0,0
Rusguniae,119,0,0,0
Banasa,12,6,0,655
Ain Temouchent,0,57,0,0
Hadrumetum,0,601,0,89
El-Hamadi,0,830,0,0
Albulae,0,57,0,0
Ain Trab,61,0,0,0
Thibilis,0,84,0,0
Cissi,0,0,0,50
Gadiaufala,81,0,0,0
Miliana,0,0,0,2855
Bou Arreridj,0,0,0,481
Rusicade,0,0,0,338
Rapidum,0,0,0,49
Auzia,0,0,0,73
Cartennas,0,0,0,744
Iomnium,0,0,0,329
Lucu,41,0,0,0
Tipasa,0,0,0,94
Abbiar-Miggi,0,0,0,3952
Gasr Selim,0,0,0,877
Sabratha,0,16,0,5
Adjim,0,232,0,0
Carthage,0,18,0,0
Thysdrus,0,0,0,4004
Fadhiline,0,0,0,4636
Ras Kaboudia,0,0,0,36
Utica,0,0,0,330
Volubilis,0,0,0,66
