Catalogue,Findspot,Province,Denomination,Mint_Year,Mint
1,Gafsa,Proconsularis,sestertius,108.0,Rome
2,Gafsa,Proconsularis,sestertius,117.0,Rome
3,Gafsa,Proconsularis,sestertius,117.0,Rome
4,Gafsa,Proconsularis,sestertius,129.0,Rome
5,Gafsa,Proconsularis,sestertius,129.0,Rome
6,Gafsa,Proconsularis,sestertius,129.0,Rome
7,Gafsa,Proconsularis,sestertius,118.0,Rome
8,Gafsa,Proconsularis,sestertius,128.0,Rome
9,Gafsa,Proconsularis,sestertius,128.0,Rome
10,Gafsa,Proconsularis,sestertius,128.0,Rome
11,Gafsa,Proconsularis,dupondius,118.0,Rome
12,Gafsa,Proconsularis,sestertius,150.0,Rome
13,Gafsa,Proconsularis,sestertius,150.0,Rome
14,Gafsa,Proconsularis,sestertius,160.0,Rome
15,Gafsa,Proconsularis,sestertius,150.0,Rome
16,Gafsa,Proconsularis,sestertius,150.0,Rome
17,Gafsa,Proconsularis,sestertius,150.0,Rome
18,Gafsa,Proconsularis,sestertius,153.0,Rome
19,Gafsa,Proconsularis,sestertius,171.0,Rome
20,Gafsa,Proconsularis,sestertius,163.0,Rome
21,Gafsa,Proconsularis,sestertius,166.0,Rome
22,Gafsa,Proconsularis,sestertius,171.0,Rome
23,Gafsa,Proconsularis,sestertius,171.0,Rome
24,Gafsa,Proconsularis,sestertius,171.0,Rome
25,Gafsa,Proconsularis,sestertius,171.0,Rome
26,Gafsa,Proconsularis,sestertius,177.0,Rome
27,Gafsa,Proconsularis,sestertius,186.0,Rome
28,Gafsa,Proconsularis,sestertius,186.0,Rome
29,Gafsa,Proconsularis,sestertius,193.0,Rome
30,Gafsa,Proconsularis,sestertius,194.0,Rome
31,Gafsa,Proconsularis,sestertius,195.0,Rome
32,Gafsa,Proconsularis,sestertius,197.0,Rome
33,Gafsa,Proconsularis,sestertius,198.0,Rome
34,Gafsa,Proconsularis,sestertius,215.0,Rome
35,Gafsa,Proconsularis,sestertius,220.0,Rome
36,Gafsa,Proconsularis,sestertius,221.0,Rome
37,Gafsa,Proconsularis,sestertius,223.0,Rome
38,Gafsa,Proconsularis,sestertius,224.0,Rome
39,Gafsa,Proconsularis,sestertius,225.0,Rome
40,Gafsa,Proconsularis,sestertius,225.0,Rome
